entid,Action_Grade,ENTTYPE,INDUSTRYPHY,RECCAP,Social,Inconfidence,CaseType,ANCHEYEAR,ANCHEDATE,BUSST
122697049,15.0,10,9,4700000.0,0.0,0.0,2,2014.0,2015/7/30,0.0
122697049,15.0,10,9,4700000.0,0.0,0.0,2,2015.0,2016/5/6,0.0
122697049,15.0,10,9,4700000.0,0.0,0.0,2,2017.0,2018/8/24,11.0
122697049,15.0,10,9,4700000.0,0.0,0.0,2,2013.0,2015/8/30,0.0
122697049,15.0,10,9,4700000.0,0.0,0.0,2,2016.0,2017/10/20,0.0
959830672,15.0,5,11,1000.0,0.0,0.0,1,2014.0,2015/9/13,0.0
959830672,15.0,5,11,1000.0,0.0,0.0,1,2015.0,2016/4/19,0.0
959830672,15.0,5,11,1000.0,0.0,0.0,1,2017.0,2018/1/12,11.0
959830672,15.0,5,11,1000.0,0.0,0.0,1,2016.0,2017/5/20,0.0
959830672,15.0,5,11,1000.0,0.0,0.0,1,2013.0,2015/9/13,0.0
959830672,15.0,5,11,1000.0,0.0,0.0,1,2018.0,2019/3/15,11.0
564421968,10.0,8,12,5000.0,0.0,1.0,1,,,
620868429,10.0,8,9,10000.0,0.0,0.0,2,2015.0,2016/10/15,0.0
620868429,10.0,8,9,10000.0,0.0,0.0,2,2016.0,2017/5/20,0.0
620868429,10.0,8,9,10000.0,0.0,0.0,2,2014.0,2015/10/3,0.0
620868429,10.0,8,9,10000.0,0.0,0.0,2,2017.0,2018/3/30,11.0
620868429,10.0,8,9,10000.0,0.0,0.0,2,2013.0,2015/10/3,0.0
620868429,10.0,8,9,10000.0,0.0,0.0,2,2018.0,2019/9/29,11.0
1176966297,10.0,55,11,3000.0,0.0,0.0,2,2014.0,2015/8/17,0.0
1176966297,10.0,55,11,3000.0,0.0,0.0,2,2016.0,2017/3/20,0.0
1176966297,10.0,55,11,3000.0,0.0,0.0,2,2013.0,2015/12/24,0.0
1176966297,10.0,55,11,3000.0,0.0,0.0,2,2015.0,2016/4/12,0.0
1176966297,10.0,55,11,3000.0,0.0,0.0,2,2017.0,2018/7/28,11.0
1176966297,10.0,55,11,3000.0,0.0,0.0,2,2018.0,2019/1/20,11.0
1176966297,10.0,55,11,3000.0,0.0,0.0,2,2014.0,2015/8/17,0.0
1176966297,10.0,55,11,3000.0,0.0,0.0,2,2016.0,2017/3/20,0.0
