entid,Action_Grade,ENTTYPE,INDUSTRYPHY,RECCAP,Social,Inconfidence,CaseType
122697049,15.0,10,9,4700000.0,0.0,0.0,2.0
959830672,15.0,5,11,1000.0,0.0,0.0,1.0
564421968,10.0,8,12,5000.0,0.0,1.0,1.0
620868429,10.0,8,9,10000.0,0.0,0.0,2.0
1176966297,10.0,55,11,3000.0,0.0,0.0,2.0
1176966297,10.0,55,11,3000.0,0.0,0.0,2.0
1176966297,10.0,55,11,3000.0,0.0,0.0,2.0
658987796,15.0,3,11,500.0,0.0,0.0,1.0
1189216366,13.0,6,11,200.0,0.0,0.0,2.0
1189216366,13.0,6,11,200.0,0.0,0.0,2.0
1002985609,10.0,3,11,1000.0,0.0,0.0,2.0
366200269,10.0,5,16,100.0,0.0,0.0,1.0
959453158,10.0,3,11,4800.0,0.0,0.0,1.0
1114628681,10.0,3,11,200.0,0.0,0.0,1.0
191956142,10.0,5,7,450.0,0.0,0.0,1.0
805505073,10.0,8,11,31000.0,0.0,0.0,2.0
805505073,10.0,8,11,31000.0,0.0,0.0,2.0
805505073,10.0,8,11,31000.0,0.0,0.0,2.0
127466506,10.0,28,9,0.0,0.0,0.0,1.0
103517987,10.0,35,2,83.7,0.0,0.0,1.0
927879748,10.0,18,9,0.0,0.0,0.0,3.0
923269747,15.0,3,11,1000.0,0.0,0.0,3.0
559790998,10.0,6,9,1000.0,0.0,0.0,4.0
142691942,10.0,3,11,110.0,0.0,0.0,3.0
758076239,10.0,3,11,0.0,0.0,0.0,4.0
918218034,10.0,3,9,1000.0,0.0,0.0,4.0
510117950,10.0,18,8,0.0,0.0,0.0,4.0
359609594,10.0,32,9,0.0,0.0,0.0,3.0
408215553,10.0,28,9,0.0,0.0,0.0,3.0
829944891,10.0,27,9,0.0,0.0,0.0,3.0
337502360,10.0,55,10,0.0,0.0,0.0,3.0
699365643,10.0,3,11,1000.0,0.0,0.0,3.0
755521214,10.0,3,11,6000.0,0.0,0.0,3.0
731050139,10.0,13,9,0.0,0.0,0.0,2.0
1222373856,10.0,3,11,7000.0,0.0,0.0,3.0
725698768,15.0,28,9,0.0,0.0,0.0,3.0
936352630,15.0,28,9,0.0,0.0,0.0,3.0
812917663,15.0,3,4,300.0,0.0,0.0,1.0
880847377,10.0,8,11,50.0,0.0,0.0,4.0
606816694,10.0,7,11,300.0,0.0,0.0,3.0
1031153973,10.0,3,11,3.0,0.0,0.0,3.0
221832261,10.0,3,9,3700.0,0.0,0.0,3.0
284392751,10.0,58,0,0.0,0.0,0.0,1.0
635899624,10.0,27,9,0.0,0.0,0.0,3.0
95211015,10.0,28,9,0.0,0.0,0.0,4.0
1231967447,10.0,27,9,0.0,0.0,0.0,3.0
