entid,Action_Grade,ENTTYPE,INDUSTRYPHY,RECCAP,Social,Inconfidence,CaseType,ANCHEYEAR,ANCHEDATE,BUSST
952329218,10.0,3,11,0.0,0.0,0.0,,,,
421844157,10.0,5,11,0.0,0.0,0.0,,2015.0,2017/5/23,13.0
421844157,10.0,5,11,0.0,0.0,0.0,,2016.0,2017/10/23,13.0
421844157,10.0,5,11,0.0,0.0,0.0,,2017.0,2018/9/16,13.0
421844157,10.0,5,11,0.0,0.0,0.0,,2014.0,2017/7/23,13.0
421844157,10.0,5,11,0.0,0.0,0.0,,2018.0,2019/9/20,13.0
475255424,10.0,3,11,1000.0,0.0,0.0,,2014.0,2015/9/29,0.0
475255424,10.0,3,11,1000.0,0.0,0.0,,2016.0,2017/5/20,0.0
475255424,10.0,3,11,1000.0,0.0,0.0,,2017.0,2018/3/27,15.0
475255424,10.0,3,11,1000.0,0.0,0.0,,2015.0,2016/9/24,0.0
475255424,10.0,3,11,1000.0,0.0,0.0,,2013.0,2015/4/29,0.0
475255424,10.0,3,11,1000.0,0.0,0.0,,2018.0,2019/10/22,15.0
486671830,10.0,5,11,100.0,0.0,0.0,,,,
510117950,10.0,18,8,0.0,0.0,0.0,,2016.0,2017/10/19,11.0
510117950,10.0,18,8,0.0,0.0,0.0,,2017.0,2018/1/25,11.0
510117950,10.0,18,8,0.0,0.0,0.0,,2014.0,2016/2/13,0.0
510117950,10.0,18,8,0.0,0.0,0.0,,2015.0,2016/10/13,0.0
510117950,10.0,18,8,0.0,0.0,0.0,,2013.0,2016/7/13,0.0
510117950,10.0,18,8,0.0,0.0,0.0,,2018.0,2019/6/25,0.0
263127758,10.0,3,11,10620.0,0.0,0.0,,2015.0,2016/8/30,0.0
263127758,10.0,3,11,10620.0,0.0,0.0,,2016.0,2017/4/20,11.0
263127758,10.0,3,11,10620.0,0.0,0.0,,2014.0,2015/9/14,0.0
263127758,10.0,3,11,10620.0,0.0,0.0,,2013.0,2015/10/8,0.0
263127758,10.0,3,11,10620.0,0.0,0.0,,2017.0,2018/3/9,11.0
263127758,10.0,3,11,10620.0,0.0,0.0,,2018.0,2019/5/28,11.0
1116571015,10.0,3,11,10008.0,0.0,0.0,,,,
498015441,10.0,3,14,50.0,0.0,0.0,,2017.0,2018/12/22,11.0
498015441,10.0,3,14,50.0,0.0,0.0,,2014.0,2015/9/18,0.0
498015441,10.0,3,14,50.0,0.0,0.0,,2013.0,2014/8/22,0.0
498015441,10.0,3,14,50.0,0.0,0.0,,2015.0,2017/1/9,11.0
498015441,10.0,3,14,50.0,0.0,0.0,,2016.0,2017/9/9,11.0
498015441,10.0,3,14,50.0,0.0,0.0,,2018.0,2019/1/26,0.0
1113017293,10.0,3,11,50.0,0.0,0.0,,2013.0,2018/10/29,11.0
843832610,10.0,16,17,0.0,0.0,0.0,,,,
545175795,10.0,5,11,0.0,0.0,0.0,,2016.0,,11.0
545175795,10.0,5,11,0.0,0.0,0.0,,2017.0,,11.0
545175795,10.0,5,11,0.0,0.0,0.0,,2014.0,,11.0
545175795,10.0,5,11,0.0,0.0,0.0,,2015.0,,11.0
324547720,10.0,3,5,380.0,0.0,0.0,,2013.0,2015/2/12,11.0
324547720,10.0,3,5,380.0,0.0,0.0,,2014.0,2015/12/12,11.0
884853596,10.0,3,9,1000.0,0.4,0.0,,2014.0,2015/6/21,0.0
884853596,10.0,3,9,1000.0,0.4,0.0,,2013.0,2014/1/14,0.0
224092091,10.0,5,11,0.0,0.0,0.0,,2017.0,2018/9/19,11.0
224092091,10.0,5,11,0.0,0.0,0.0,,2015.0,2016/6/3,11.0
224092091,10.0,5,11,0.0,0.0,0.0,,2016.0,2017/5/23,11.0
224092091,10.0,5,11,0.0,0.0,0.0,,2018.0,2019/8/13,11.0
945933571,15.0,28,9,0.0,0.0,0.0,,2013.0,2015/6/26,0.0
945933571,15.0,28,9,0.0,0.0,0.0,,2017.0,2018/9/3,11.0
945933571,15.0,28,9,0.0,0.0,0.0,,2014.0,2015/3/27,0.0
945933571,15.0,28,9,0.0,0.0,0.0,,2016.0,2018/9/10,11.0
945933571,15.0,28,9,0.0,0.0,0.0,,2015.0,2018/6/3,11.0
954239726,10.0,3,11,0.0,0.0,0.0,,,,
493673299,10.0,3,11,3.0,0.0,0.0,,2013.0,2015/10/13,0.0
889838085,10.0,5,14,10.0,0.0,0.0,,2015.0,2016/10/19,0.0
889838085,10.0,5,14,10.0,0.0,0.0,,2013.0,2014/12/19,0.0
