entid,Action_Grade,ENTTYPE,INDUSTRYPHY,RECCAP,Social,Inconfidence,CaseType
952329218,10.0,3,11,0.0,0.0,0.0,
421844157,10.0,5,11,0.0,0.0,0.0,
475255424,10.0,3,11,1000.0,0.0,0.0,
486671830,10.0,5,11,100.0,0.0,0.0,
510117950,10.0,18,8,0.0,0.0,0.0,
263127758,10.0,3,11,10620.0,0.0,0.0,
1116571015,10.0,3,11,10008.0,0.0,0.0,
498015441,10.0,3,14,50.0,0.0,0.0,
1113017293,10.0,3,11,50.0,0.0,0.0,
843832610,10.0,16,17,0.0,0.0,0.0,
545175795,10.0,5,11,0.0,0.0,0.0,
324547720,10.0,3,5,380.0,0.0,0.0,
884853596,10.0,3,9,1000.0,0.4,0.0,
224092091,10.0,5,11,0.0,0.0,0.0,
945933571,15.0,28,9,0.0,0.0,0.0,
954239726,10.0,3,11,0.0,0.0,0.0,
493673299,10.0,3,11,3.0,0.0,0.0,
889838085,10.0,5,14,10.0,0.0,0.0,
327183771,10.0,3,11,100.0,0.0,0.0,
950966820,10.0,5,11,0.0,0.0,0.0,
488028099,10.0,29,9,0.0,0.0,0.0,
612621778,10.0,5,11,10.0,0.0,0.0,
690756846,10.0,3,11,500.0,0.4,0.0,
559790998,10.0,6,9,1000.0,0.0,0.0,
568861818,10.0,3,11,0.0,0.0,0.0,
182638287,10.0,3,11,0.0,0.0,0.0,
828356001,10.0,3,11,200.0,0.0,0.0,
214259216,10.0,5,11,0.0,0.0,0.0,
815767942,10.0,5,11,10.0,0.0,0.0,
118080722,10.0,3,11,1500.0,0.0,0.0,
923590000,10.0,3,11,3.0,0.0,0.0,
622144768,10.0,3,11,0.0,0.0,0.0,
752953932,10.0,3,11,0.0,0.0,0.0,
3549545,10.0,3,11,0.0,0.4,0.0,
613316044,10.0,3,10,0.0,0.0,0.0,
86389424,10.0,3,11,100.0,0.0,0.0,
177271158,10.0,3,2,0.0,0.0,0.0,
456997986,10.0,27,9,0.0,0.0,0.0,
59866292,10.0,3,11,30.0,0.0,0.0,
50899367,10.0,27,9,0.0,0.0,0.0,
146510672,10.0,44,11,100.0,1.2000000000000002,0.0,
765109968,10.0,3,10,0.0,0.0,0.0,
985924084,10.0,3,11,0.0,0.0,0.0,
72267142,10.0,5,11,0.0,0.0,0.0,
942974124,10.0,5,11,0.0,0.0,0.0,
1069073976,10.0,18,9,0.0,0.0,0.0,
975601190,10.0,3,11,10.0,0.0,0.0,
873558779,10.0,42,9,0.0,0.0,0.0,
730888062,10.0,17,11,0.0,0.0,0.0,
807228690,10.0,3,17,0.0,0.0,0.0,
930458766,10.0,3,11,500.0,0.0,0.0,
899568771,10.0,3,11,0.0,0.0,0.0,
899031965,10.0,3,11,0.0,0.0,0.0,
698364185,10.0,5,11,0.0,0.0,0.0,
876340929,10.0,3,11,0.0,0.0,0.0,
138883672,10.0,22,9,0.0,0.0,0.0,
489434433,10.0,5,11,0.0,0.0,0.0,
723684721,10.0,3,11,2000.0,0.0,0.0,
