entid,Action_Grade,ENTTYPE,INDUSTRYPHY,RECCAP,Social,Inconfidence,CaseType
1113017293,10.0,3,11,50.0,0.0,0.0,0
954239726,10.0,3,11,0.0,0.0,0.0,0
954239726,10.0,3,11,0.0,0.0,0.0,0
50899367,10.0,27,9,0.0,0.0,0.0,2
243789405,10.0,17,11,0.0,0.0,0.0,2
620868429,10.0,8,9,10000.0,0.0,0.0,2
1102534779,10.0,3,11,2000.0,0.0,0.0,0
799080938,15.0,3,6,1050.0,0.0,0.0,3
799080938,15.0,3,6,1050.0,0.0,0.0,3
1176966297,10.0,55,11,3000.0,0.0,0.0,2
1176966297,10.0,55,11,3000.0,0.0,0.0,2
1176966297,10.0,55,11,3000.0,0.0,0.0,2
