entid,ANCHEYEAR,ANCHEDATE,EMPNUM,WOMEMPNUM,BUSST
225394176,2013,2015/7/16,,,0
671369696,2013,2015/11/28,36,,0
482394235,2013,2015/6/16,,,0
257560956,2014,2015/4/15,6,,0
1098183164,2014,2015/5/23,8,,0
923333197,2013,2015/2/21,,,0
368872124,2013,2015/9/13,,,4
793061643,2014,2015/6/16,150,,0
423005894,2014,2015/12/27,7,,0
520284012,2013,2014/9/26,,,0
793823151,2013,2014/2/23,7,,4
896254795,2013,2014/7/11,,,0
253310567,2014,2015/3/15,210,,0
750392117,2014,2015/12/6,,,0
353945399,2014,2015/10/17,147,,0
861969081,2015,2016/7/11,,,0
1021056068,2014,2015/12/29,,,0
755521214,2014,2015/1/4,,,0
750392117,2013,2015/12/6,,,0
755521214,2013,2015/3/4,,,0
407907886,2013,2014/5/27,,,0
514259305,2015,2016/7/2,,,0
377705656,2013,2014/10/24,,,0
266783579,2014,2015/4/17,,,0
516297044,2014,2016/11/7,,,0
1021790428,2015,2016/1/22,,,0
613754775,2013,2015/9/25,,,0
126993263,2014,2015/5/26,,,4
1024089624,2015,2016/2/29,23,,0
876795652,2013,2015/5/30,,,4
613754775,2014,2015/7/25,,,0
142691942,2014,2015/12/18,,,0
47765794,2013,2015/8/28,11,,0
974430232,2013,2015/11/22,,,0
47765794,2014,2015/7/28,8,,0
786901755,2013,2015/3/18,8,,0
632694374,2014,2015/4/26,,,0
625243944,2013,2015/9/13,,,0
60501171,2013,2015/12/10,23,,0
911431212,2013,2014/11/15,13,,0
922231918,2013,2016/9/7,,,0
60501171,2014,2015/11/10,33,,0
966950408,2014,2015/7/5,,,0
615699596,2013,2015/3/14,111,,0
426380994,2016,2017/12/20,21,8,0
194980333,2016,2017/2/20,17,10,6
940923669,2016,2017/5/20,30,17,0
353592717,2017,2018/4/10,72,25,11
755521214,2017,2018/9/17,13,3,11
896254795,2017,2018/6/25,5,7,11
530384310,2017,2018/4/29,9,8,11
704862560,2015,2016/7/15,7,,11
671369696,2017,2018/3/22,18,6,11
679680967,2017,2018/10/24,8,2,11
132799368,2016,2017/4/29,10,1,11
77539620,2014,2017/10/18,10,,11
763882897,2016,2017/2/11,4,2,11
126395312,2017,2018/12/9,8,6,11
1021056068,2015,2017/8/26,10,,11
886096723,2016,2017/12/6,8,7,11
807545963,2015,2018/4/26,5,,11
368872124,2016,2017/7/1,10,2,11
1217625539,2014,2016/10/22,12,,11
963091337,2017,2018/2/24,4,8,11
15678213,2015,2018/10/29,2,,11
446839231,2014,2017/10/25,2,,11
406101516,2016,2017/2/14,12,9,11
62390575,2016,2018/10/17,10,2,11
406101516,2015,2016/7/26,13,,11
925143437,2016,2017/7/23,12,0,11
91190477,2015,2017/8/17,11,,11
91190477,2016,2017/2/17,9,2,11
757360944,2016,2017/11/20,3,8,11
660306874,2016,2017/4/12,10,4,11
898924800,2017,2018/4/4,9,10,11
1087212956,2016,2018/4/22,18,6,11
1155942293,2017,2018/11/21,159,88,11
426526636,2017,2018/5/26,15,7,11
253310567,2016,2017/12/5,93,55,11
253310567,2017,2018/8/4,89,57,11
225394176,2015,2017/5/5,91,,11
911431212,2015,2017/2/18,20,,11
382534246,2016,2017/7/15,8,8,11
1021790428,2016,2017/6/14,5,7,11
73384809,2016,,,,9
632122462,2014,,,,11
769345668,2014,,5,,11
380336498,2014,,,,11
608027695,2015,,,,9
173608654,2016,2017/7/11,7,5,11
760576075,2015,,11,,11
1228052139,2015,,,,11
187292727,2017,,,,11
306578626,2017,,,,18
252194412,2016,,,,18
464496132,2016,,8,,11
477280607,2014,2015/2/18,4,,0
477280607,2013,2015/2/18,12,,0
354991442,2014,2015/8/30,5301,,0
354991442,2015,2016/3/21,5685,,0
891132155,2014,2015/5/15,3,,11
100233421,2014,2015/2/26,7,,0
1032231861,2013,2016/5/7,,,0
134014987,2015,2016/4/25,,,0
569311652,2014,2015/4/5,6,,0
1002985609,2014,2015/6/25,,,0
306578626,2014,2015/2/17,,,4
288764239,2014,2015/7/18,,,0
253310567,2015,2016/11/2,18,,0
122404006,2013,2015/5/22,,,0
122404006,2014,2015/6/22,,,0
763882897,2014,2015/9/20,17,,0
517353431,2014,2015/2/2,,,0
962203643,2013,2015/1/30,3,,0
923931235,2014,2015/10/26,,,0
193764953,2014,2015/7/12,,,4
957798659,2014,2015/8/16,,,0
1024089624,2013,2014/12/15,,,0
863431175,2014,2015/10/21,,,0
530384310,2013,2015/2/25,,,0
266783579,2013,2014/4/19,,,0
304651929,2013,2015/4/29,,,0
138883672,2013,2015/12/9,4,,0
349263176,2015,2016/5/25,,,0
138883672,2015,2016/3/24,,,0
835606294,2014,2015/3/1,,,0
886096723,2013,2016/6/15,,,0
1145175331,2014,2015/10/8,7,,0
637079923,2013,2014/1/11,,,0
194980333,2015,2016/12/21,,,0
353592717,2016,2017/11/20,53,15,0
477280607,2016,2017/11/20,7,8,0
793061643,2017,2018/5/23,106,54,11
704862560,2017,2018/1/28,8,,11
354934080,2015,2016/11/9,9,,11
1113943591,2015,2017/3/31,4,,11
77539620,2015,2017/8/18,2,,11
77539620,2013,2017/4/19,7,,11
372210897,2016,2017/12/24,6,4,11
763882897,2017,2018/5/21,5,8,11
637079923,2016,2018/9/7,2,0,11
1122041480,2017,2018/7/24,3,9,11
1126948899,2015,2017/4/20,5,,11
257560956,2015,2017/4/25,7,,11
1204996213,2016,2017/6/9,10,9,11
963091337,2016,2017/10/21,6,7,11
963091337,2015,2017/9/21,7,,11
863431175,2016,2017/8/27,6,2,11
446839231,2015,2017/2/25,11,,11
685587246,2014,2018/11/23,9,,11
685587246,2013,2018/8/23,8,,11
334445840,2015,2017/4/10,9,,11
1087212956,2017,2018/8/22,12,4,11
1155942293,2013,2017/1/22,159,,11
1155942293,2014,2017/12/22,163,,11
64662931,2017,2018/8/30,16,10,11
966950408,2016,2017/2/16,49,25,11
288764239,2015,2017/7/30,8,,11
1036107901,2015,2016/12/9,4,,11
354991442,2017,2018/7/9,135,46,11
325265909,2014,,,,11
632122462,2015,,,,11
769345668,2015,,7,,11
1005387686,2017,2018/4/30,10,8,13
380336498,2015,,,,11
608027695,2016,,,,9
760576075,2016,,5,,11
1228052139,2016,,,,11
516297044,2016,,,,11
187292727,2014,,4,,11
306578626,2015,,,,11
1010536331,2014,2015/2/28,,,0
477280607,2015,2016/10/7,1,,0
259184634,2013,2015/3/26,9,,0
1179998601,2013,2015/10/25,,,0
354991442,2013,2015/10/29,5206,,0
1005189649,2014,2015/4/21,,,0
371713118,2014,2015/11/8,49,,0
264061220,2013,2015/2/22,11,,0
353945399,2015,2016/9/28,156,,0
389991809,2013,2015/9/26,,,0
648328511,2014,2015/11/3,,,0
959453158,2015,2016/1/27,,,0
660529291,2014,2015/6/28,1,,4
142691942,2013,2015/11/18,,,0
1021790428,2013,2016/12/22,,,0
974430232,2014,2015/1/22,,,0
507043244,2014,2015/12/30,,,0
863431175,2015,2016/2/29,,,0
266783579,2015,2016/3/19,,,0
530384310,2014,2015/3/17,,,0
580170754,2013,2014/9/6,,,0
1204996213,2013,2014/1/30,,,0
966950408,2015,2016/2/12,,,0
118080722,2013,2015/1/10,,,0
625243944,2014,2015/8/13,,,0
549310412,2013,2015/2/12,,,0
632694374,2015,2016/8/21,,,0
194980333,2014,2015/4/1,,,0
263550169,2017,2018/8/13,4,2,11
704862560,2016,2017/5/3,13,12,11
695260559,2017,2018/1/23,9,6,11
695260559,2016,2017/3/1,9,9,11
577816325,2016,2017/2/22,9,4,11
1113943591,2014,2017/1/31,10,,11
1113943591,2016,2017/6/30,4,3,11
679680967,2014,2016/9/4,10,,11
679680967,2016,2017/10/27,10,6,11
625243944,2015,2017/10/4,5,,11
372210897,2017,2018/1/4,16,3,11
327107238,2014,2017/9/23,8,,11
886096723,2015,2017/5/6,12,,11
807545963,2013,2017/2/9,2,,11
807545963,2016,2018/9/26,6,7,11
266783579,2017,2018/7/24,8,3,11
1098183164,2015,2017/3/24,5,,11
1032231861,2017,2018/3/19,7,3,11
1095411854,2015,2016/5/12,36,,13
257560956,2017,2018/11/28,1,2,11
257560956,2016,2017/5/25,1,5,11
925143437,2017,2018/9/30,5,7,11
334445840,2016,2017/4/10,0,6,11
757360944,2015,2016/2/20,6,,11
1112373491,2015,2016/6/4,31,,11
1112373491,2017,2018/1/6,27,14,11
922231918,2016,2017/10/13,19,12,11
1036107901,2017,2018/6/26,3,10,11
426380994,2017,2018/12/24,34,18,11
891132155,2015,2016/8/17,4,,11
250442914,2015,2016/9/7,4,,11
325265909,2015,,,,11
190939668,2014,,,,11
632122462,2016,,,,11
769345668,2016,,10,,11
553787562,2013,,,,13
1005387686,2015,2017/6/7,7,,11
