entid,ANCHEYEAR,INV,TRANSAMPR,TRANSAMAFT,ALTDATE
959830672,2014,37,0.162184719,101.9691495,2014/11/3
959830672,2014,294,100.9054106,-0.6400969,2014/12/3
658987796,2014,357,59.87252894,0.58605627,2014/12/6
658987796,2014,316,-0.075377199,-0.664907163,2014/6/25
658987796,2014,290,0.419383856,9.575938328,2014/12/6
658987796,2014,105,8.005456979,0.35206979,2014/11/6
658987796,2014,84,33.86319399,91.95996238,2014/4/6
658987796,2014,84,91.4529573,98.45986543,2014/7/25
658987796,2016,19,-0.625212779,0.359189543,2016/11/12
658987796,2016,316,1.809926605,0.580899612,2016/8/12
805505073,2013,42,0.99890046,13.47454241,2014/12/27
805505073,2013,41,1.146696791,13.43687887,2014/2/27
805505073,2013,40,33.84733119,48.03056573,2014/7/27
805505073,2013,45,25.89267328,25.1979315,2014/3/27
805505073,2013,10,37.53273564,-0.58905135,2014/3/27
923269747,2016,109,-0.067475964,59.47928733,2016/4/3
923269747,2016,302,6.204042225,-0.702629807,2016/2/3
923269747,2016,27,5.105611351,10.61066372,2016/10/3
923269747,2016,36,89.61622012,31.46441441,2016/9/3
755521214,2014,120,66.6452953,0.729396582,2014/11/4
755521214,2014,338,34.61135627,-0.213540804,2014/4/4
755521214,2014,11,0.707092144,100.2156602,2014/4/4
812917663,2017,308,12.95086313,15.70887626,2017/4/13
812917663,2017,176,55.60605231,46.87355583,2017/7/13
812917663,2017,115,10.68129188,11.6769942,2017/5/13
812917663,2017,229,19.10445413,22.42894039,2017/5/13
812917663,2017,146,2.923393873,6.255490559,2017/4/13
812917663,2017,226,19.67970867,19.30804895,2017/10/13
606816694,2015,43,-2.221382198,80.27136397,2015/2/26
606816694,2015,121,79.38686471,1.188596604,2015/12/26
606816694,2017,43,0.797722619,79.0964171,2015/10/4
606816694,2017,104,1.246883834,19.10803591,2017/12/16
606816694,2017,135,9.847912981,-1.078156159,2017/2/16
606816694,2017,33,9.731352636,-1.291069151,2017/9/16
606816694,2017,121,78.65533595,1.397274333,2015/7/4
606816694,2018,43,77.63701536,0.386094567,2018/6/16
606816694,2018,104,20.91055637,100.8958572,2018/12/16
606816694,2017,43,-0.193205319,80.12239986,2015/11/3
606816694,2017,104,-0.352569615,18.84343699,2017/9/15
606816694,2017,121,78.91989847,-0.828106611,2015/11/3
606816694,2017,135,10.52974921,0.304717093,2017/1/15
606816694,2017,33,11.12171263,-1.00383557,2017/8/15
133252686,2016,224,-0.841128008,51.62597997,2016/2/24
133252686,2016,286,-0.521351865,49.80053113,2016/9/24
102673201,2016,233,16.77812926,0.33813134,2016/12/25
102673201,2016,60,50.2214309,24.21123955,2016/11/25
102673201,2016,334,35.08315636,25.21665718,2016/6/25
102673201,2016,222,-0.71669242,48.93683728,2016/11/25
1007251516,2016,110,30.40949373,-0.163693416,2016/7/23
1007251516,2018,111,81.87852529,100.4712195,2018/4/9
547440553,2017,174,0.673783294,97.07847587,2017/6/30
547440553,2017,246,94.58298662,1.393632795,2017/6/30
547440553,2017,173,-1.616543299,1.291485715,2017/5/31
547440553,2017,228,5.504571652,0.182666057,2017/3/31
858710610,2016,31,8.533925012,9.184276196,2014/1/21
276103663,2014,355,40.81245156,38.84018619,2014/8/24
276103663,2014,166,59.71705044,58.99274201,2014/11/24
100724777,2015,35,91.48945608,97.71635079,2015/11/28
982196289,2016,346,25.20512741,0.014290785,2016/10/20
982196289,2016,253,25.60834555,0.559490892,2016/2/20
982196289,2016,216,23.98438687,1.666570469,2016/5/20
982196289,2016,171,25.37714554,99.77079492,2016/1/20
1001226199,2015,256,100.1929543,-0.308082351,2015/2/3
1001226199,2015,34,-0.226672589,100.3960972,2015/7/3
909295164,2017,311,0.425925166,99.4642531,2017/3/10
909295164,2018,8,99.49103531,98.43331543,2018/6/1
920939603,2015,179,0.12820134,101.356522,2015/1/21
920939603,2017,39,0.16895952,49.47128444,2017/12/18
920939603,2017,267,-0.512569312,48.4953187,2017/5/18
594662985,2013,80,0.574745661,19.75360387,2014/3/23
594662985,2013,136,0.263525092,79.57338106,2014/12/23
594662985,2016,347,0.770268534,100.4719834,2016/6/7
640968401,2017,305,97.81270973,98.63549997,2017/11/29
640968401,2018,305,102.4385748,2.678621321,2018/6/25
640968401,2018,79,1.110894541,98.90717781,2018/10/25
785979544,2017,172,2.145513705,2.309829794,2016/3/7
1090257579,2013,88,1.320529679,-0.104250712,2013/2/27
1090257579,2013,193,0.085991384,1.769998802,2013/3/27
1145631240,2017,292,0.309094329,99.00280466,2017/9/6
272730092,2014,295,30.97122878,1.204469426,2014/8/26
272730092,2014,5,0.616917895,30.54554965,2014/3/26
21702078,2016,143,28.74661437,-1.47708817,2016/4/27
21702078,2016,182,40.42607085,1.308969373,2016/2/27
21702078,2016,148,-0.473783541,97.59447917,2016/9/27
21702078,2016,112,0.862901571,-0.612116196,2016/4/27
21702078,2016,142,30.16826446,0.817571745,2016/6/27
21702078,2015,143,31.3393496,,2017/7/27
779853295,2014,129,69.39790465,85.1956901,2014/9/20
779853295,2015,129,68.95789517,85.62516536,2014/2/20
198645614,2014,61,2.261429659,0.983132525,2014/2/17
198645614,2016,61,0.565636173,1.693834884,2014/11/3
1085857349,2014,168,-0.929660204,100.0834941,2014/7/17
1085857349,2014,125,98.79398686,1.058525906,2014/11/17
653184071,2015,249,98.4909199,99.2154132,2015/7/30
1188349896,2014,352,99.67031486,-0.193974179,2014/9/20
1188349896,2014,238,1.79230779,100.1355532,2014/7/20
332704751,2016,371,2.976436795,0.209415596,2015/12/31
791641607,2018,1,100.1183882,100.8841834,2019/4/30
180016517,2016,1,12.46256002,8.554026618,2017/6/3
263127758,2014,63,31.09969428,28.23324452,2014/9/10
263127758,2014,329,40.01439345,29.49933464,2014/10/10
263127758,2014,48,0.430575052,30.2842478,2014/7/10
263127758,2014,50,-0.904431322,11.4370163,2014/5/10
263127758,2014,49,27.98694388,1.164240939,2014/4/10
734758428,2014,38,-1.304578671,51.67181112,2014/8/11
734758428,2014,158,49.86256419,1.170574483,2014/7/11
507043244,2017,0,-1.428270944,1.193296271,2018/1/16
1207030622,2015,370,67.96700057,0.92044692,2016/3/15
1207030622,2016,225,70.79266632,-0.619118266,2016/11/13
1207030622,2017,44,98.99706954,100.53289,2017/3/6
766344392,2014,51,66.54621587,66.3759124,2014/7/28
766344392,2014,67,32.50047612,33.29950834,2014/4/28
530384310,2013,56,52.41671969,0.6929498,2013/4/2
530384310,2013,55,46.97953617,0.92937921,2013/10/2
114179367,2016,20,0.191152442,100.1830784,2016/10/15
1015275963,2017,30,-0.343809972,-1.653791949,2017/9/26
1015275963,2017,268,100.9998708,99.46028314,2017/10/26
1233351534,2017,62,20.90180936,29.76778987,2017/5/21
840366560,2014,235,80.39895512,99.50588248,2006/8/18
639523185,2014,363,88.71683926,89.94070574,2015/2/3
639523185,2013,366,1.856060835,8.909209399,2014/5/18
485154649,2017,24,40.90958142,46.40891145,2017/9/2
485154649,2018,24,45.54288796,58.10321624,2018/10/3
276842037,2018,95,0.609205815,99.3775555,2017/9/22
276842037,2018,153,50.86181542,-1.311981426,2017/3/22
276842037,2018,13,49.88329946,0.64549194,2017/1/22
45418644,2015,75,-1.246420462,0.136969748,2015/8/9
45418644,2015,17,0.050177592,-0.289418354,2015/7/9
45418644,2015,87,1.98749235,-0.055490256,2015/5/9
45418644,2015,344,5.597098887,1.33997879,2015/1/2
45418644,2015,319,-1.460253975,2.471904289,2015/8/9
45418644,2015,152,1.582052761,-0.004143383,2015/12/9
137903147,2014,172,50.41145929,99.59949638,2014/5/15
556570117,2016,76,60.09567376,-0.646956387,2016/2/28
556570117,2016,195,1.85782808,100.6959807,2016/5/28
556570117,2016,126,38.49857079,0.827551952,2016/2/28
829845602,2014,298,20.81273966,44.82504799,2014/6/30
829845602,2014,117,24.12760942,-0.896099298,2014/3/30
122404006,2016,15,14.80382499,-0.847169014,2016/10/12
122404006,2016,139,16.26302221,0.965170542,2016/3/12
122404006,2016,178,21.84654833,26.31624053,2016/11/12
122404006,2016,197,51.80178119,70.69123413,2016/12/12
671369696,2016,102,-0.149394655,100.9908117,2016/8/17
671369696,2016,100,32.56490921,-2.34969045,2016/4/1
671369696,2016,101,19.30321381,-0.066314145,2016/8/1
671369696,2016,98,-0.264026667,99.41160578,2017/7/21
671369696,2016,100,29.46111902,100.5522743,2016/8/21
671369696,2016,192,28.31698668,1.284272155,2016/7/1
671369696,2016,52,19.68665157,0.342737783,2016/11/1
213392980,2015,85,23.18488644,50.9875358,2015/7/23
213392980,2015,272,7.323629024,0.537982643,2015/11/23
213392980,2015,86,9.333926293,-0.41886821,2015/7/23
213392980,2015,360,12.59437375,0.112014512,2015/9/23
810431967,2015,116,-0.934995071,31.3273956,2015/12/18
810431967,2015,134,31.71572828,-0.539651203,2015/4/18
810431967,2015,124,-0.080107428,70.48601649,2015/3/18
810431967,2015,92,41.78153651,0.408467333,2015/12/18
810431967,2015,71,28.84540969,0.114783339,2015/5/18
631418868,2015,22,34.14456471,-1.496997598,2015/8/2
631418868,2015,127,0.290335745,35.75229018,2015/8/2
631418868,2015,103,6.136987743,0.101832777,2015/6/2
631418868,2015,12,0.115770287,9.008426948,2015/2/2
631418868,2015,21,19.47027482,-1.562301424,2015/6/2
631418868,2015,131,2.03452299,20.25266188,2015/3/2
631418868,2015,99,19.3586942,0.621257791,2015/7/2
631418868,2015,350,1.031345092,20.57152106,2015/1/2
667857989,2014,160,7.657666076,0.210982075,2014/3/5
667857989,2014,217,-0.87464136,7.677187846,2014/10/5
667857989,2015,217,19.77584524,-0.590571261,2015/2/2
667857989,2015,317,31.62439099,15.53462296,2015/4/2
667857989,2015,354,9.252753886,25.99855498,2015/4/2
667857989,2015,260,0.271215386,20.90933294,2015/1/2
635792996,2017,287,4.824412335,-1.151091012,2017/5/31
635792996,2017,6,-0.670710573,1.471554305,2017/4/30
635792996,2017,223,-0.067753232,3.567889862,2017/3/19
635792996,2017,240,5.293094655,10.13010403,2017/10/31
635792996,2017,128,42.94689547,41.07836716,2017/11/30
635792996,2017,358,0.540808339,0.861380715,2017/2/19
635792996,2015,240,1.072187977,4.774878172,2015/1/3
635792996,2015,96,9.833142141,1.094185051,2015/11/3
635792996,2015,287,-0.713703417,5.248432567,2015/12/3
635792996,2015,345,-1.672812456,10.06932674,2015/7/3
635792996,2015,180,0.629428874,1.543946592,2015/10/3
635792996,2015,358,1.513654913,2.528979026,2015/10/3
635792996,2015,128,69.11331473,41.95598353,2015/7/3
635792996,2015,188,-0.851586462,10.57885443,2015/2/3
635792996,2015,248,11.16785373,1.251244379,2015/2/3
635792996,2015,68,1.701474361,10.2821071,2015/9/3
