entid,ANCHEYEAR,ispublic,ASSGRO,LIAGRO,VENDINC,MAIBUSINC,PROGRO,NETINC,RATGRO,TOTEQU
932526009,2013,1,100.4888918,-1.4795661,0.283220175,0.672106726,-0.436200559,0.976037006,-0.080509606,99.81385641
47765794,2013,1,1985.294967,1986.898739,6.35373954,8.011072322,-0.265597293,-1.09517701,1.001812071,0.791099592
100233421,2014,1,-0.155075428,-0.362538319,-0.473251937,-1.560820982,-0.201789861,-1.522116228,1.182757472,-0.811407612
932526009,2014,1,99.99712694,-0.438262259,1.604003067,-0.047879693,2.271436351,0.728556087,-0.554783884,99.43759613
307832564,2014,1,0.096309983,0.620053327,-0.983818957,0.628479617,0.722161448,0.233538283,0.564324698,0.866446252
47765794,2014,1,1986.730739,1986.372262,0.008881349,0.260007628,0.077780715,0.358011222,0.543492836,0.851225701
368872124,2013,1,500.4919348,-2.148141938,-1.507686182,1.594390113,0.309908007,-0.755670743,0.952044522,499.0093989
368872124,2014,1,499.7355956,-0.913962935,0.107117525,0.917227326,0.618200938,-0.028535329,0.31048947,500.5279109
354991442,2013,1,21200299.46,14198500.99,612392.6661,611482.0651,69633.87079,69629.47666,,7001840.446
266783579,2013,1,10793.84058,5362.152523,-0.972347411,1.310369568,-6.95717016,-5.987346623,-0.469212484,5429.459017
962203643,2013,1,3.37715031,3.535312274,0.69770275,-0.051629495,-0.250613044,0.708165459,-0.50613437,0.779764918
580170754,2013,1,306.3475507,9.030498775,-1.308579794,0.748875257,-1.752287858,-0.138835166,-1.126979364,309.1939121
876795652,2013,1,,,10.23581383,,,,,
660529291,2013,1,998.9533516,0.031543729,0.969733169,-0.123927753,0.333893391,-0.942167405,-0.437782307,998.5620425
257560956,2013,1,1005.372854,6.593623376,-0.141637046,-0.254221921,-3.069609784,-3.198705232,0.37067622,997.420898
423005894,2013,1,999.4822683,0.744883047,1.422070251,0.300189799,-1.045304645,0.710879633,-0.751879616,1002.425994
793823151,2013,1,1000.532838,1.256547166,0.733973314,-1.262043654,-0.240802163,-0.664213398,0.238191834,1000.884236
354991442,2014,1,24850399.92,16954600.3,665682.8172,665681.3816,44601.9237,44603.59642,2449.713091,7895867.537
354991442,2015,1,27506799.67,18400599.12,714293.0131,714293.8792,109892.3869,109891.4147,57951.46177,9106210.713
263550169,2015,1,7626.696015,1347.347292,11.21358711,8.808110978,-48.11514151,-47.79645367,0.345241705,6281.211869
423005894,2014,1,1000.325399,0.484369817,-0.664172052,-0.85542065,0.045449662,-0.531764556,0.215796025,999.877591
962203643,2014,1,2.504347887,2.743364627,0.090977947,-0.054202172,1.856745641,0.554902204,1.230773718,0.960708956
250442914,2014,1,8.35132193,8.3970413,-0.219436399,-1.287060333,-0.088931594,-0.71571822,-0.614664513,-0.223426393
257560956,2014,1,1004.093319,10.4443597,0.0608512,0.134558746,-0.712491541,-0.794369768,-0.055764379,994.1095855
731050139,2013,1,425644.7253,412602.7366,,21943.37049,1546.096757,1150.444276,885.1834403,13040.72434
731050139,2014,1,354419.2077,341044.3053,24076.84093,24013.69879,1170.898198,787.1204072,1456.560481,13374.7362
210383067,2013,1,10.5471121,-0.616536206,-0.474106749,-0.223973733,-0.235721192,-2.230500056,-1.450254202,10.77174093
841541151,2013,1,8.743832585,-0.38418097,32.02026355,9.427873717,30.0551835,20.49572414,3.048299468,10.05603535
210383067,2014,1,9.224708704,-0.014806747,-0.660728882,0.448162087,-1.877728457,-1.850899855,0.344649264,9.159440336
841541151,2014,1,27.00256351,-0.003099595,40.04771554,10.27858231,30.49837658,30.06291866,9.222279335,28.50975107
315181301,2014,1,99.59244001,-0.940319583,-0.655050311,2.78810622,1.149308826,1.244686648,-0.120674375,-2.000839661
1139812428,2015,1,0.234323217,1.640748515,-1.464760397,0.898364164,-0.453686993,0.788182816,-2.206316954,2.013945873
1157977132,2013,1,11556.03309,3231.376201,282.3366135,209.1966652,-230.2098144,-240.112597,23.77635556,8326.146325
884853596,2013,1,998.6659059,3.584573819,-0.928707403,0.744443478,-3.887347029,-0.912310378,0.575780007,995.5254503
731340295,2015,1,5152.899092,3313.026812,48.03697097,49.96389358,43.32343392,39.56901844,4.538855155,1841.548302
162072306,2014,1,9999998.891,0.10580371,-0.331901877,0.655046974,0.043564186,-1.467892971,0.000480648,9999999.173
211101804,2013,1,68.18722689,1.277881055,,0.562677197,-7.005041136,-6.52198899,-0.871424659,68.91196075
575004686,2013,1,98.11633981,0.434459779,0.049932781,0.055048371,-1.184215062,-2.541489836,0.570798938,99.39358888
211101804,2014,1,67.53615425,-1.250262606,,-0.037049594,-4.677416973,-5.367074557,0.918237454,66.8186294
575004686,2014,1,97.22705282,-1.076800995,1.107982053,-0.562398207,0.290353044,0.581488131,1.360172169,98.05441851
957335499,2014,1,,,488.9867372,,,396.2229439,4.806810206,
957335499,2013,1,,,402.4375292,,,213.7094752,3.68615988,
295521760,2013,1,1000.44891,1.962092539,0.90616657,-0.682350284,-1.568550668,1.031272447,1.49366877,997.1557829
15412559,2013,1,10105.23155,-1.415811414,-0.582230276,-0.22483345,6.057176829,5.831691502,-0.40792842,10106.02439
885962709,2014,1,1001.300213,0.050181001,-0.753776423,0.189374914,-0.019687478,-0.040966389,1.127422867,998.9368959
15412559,2014,1,9831.657758,585.3559327,0.463265363,-0.388512246,-261.4572049,-261.8129679,-2.419327084,9245.950715
295521760,2014,1,1000.621146,3.134276566,-0.23554061,0.705809828,-0.312879277,-0.204399414,-0.647011871,998.1286217
95898023,2015,1,100.989405,-1.033390847,-1.104251096,-0.509919055,-1.026893935,1.250522438,0.801092922,100.3130763
95898023,2014,1,-0.973285752,-0.013477319,0.886501353,0.048085193,0.892071349,-0.706154054,-1.818696648,98.33115594
669965313,2013,1,,,,3484.32506,,13949.85128,62213.1284,
669965313,2014,1,,,,2516.632771,,14744.16528,44964.66402,
242119654,2013,1,129.445117,9.824123543,46.33310392,14.42074267,-37.44444336,-35.66018462,2.52443318,121.3513925
1124148664,2013,1,-1.624800256,0.6596053,-0.04709417,0.887454474,-0.438827608,-0.61681989,0.183026628,1.165800175
669965313,2015,1,,,,26102.60057,,17922.09405,47844.87414,
