entid,honor_num,illegad_num,yea_sub,web_dum,ENTTYPE,INDUSTRYPHY,REGCAP,REGCAPCUR,RECCAP,PARNUM,LIMPARNUM,PARFORM,EXENUM,brand_num,cancel_dum,certificate_num,tax_dum
122697049,,,,1,10,9,8103057.4,156.0,4700000.0,,,,,,0,4.0,0
959830672,,,,1,5,11,38000.0,156.0,1000.0,,,,,,0,2.0,0
564421968,,,,0,8,12,5000.0,156.0,5000.0,,,,,,1,,0
620868429,,,,0,8,9,10000.0,156.0,10000.0,,,,,,0,,0
1176966297,,,,0,55,11,3000.0,156.0,3000.0,,,,,,0,,0
658987796,,,,1,3,11,10000.0,156.0,500.0,,,,,,0,,0
1189216366,,1.0,,1,6,11,3000.0,156.0,200.0,,,,,,0,,0
1002985609,,,,0,3,11,1000.0,156.0,1000.0,,0.0,,1.0,,0,,0
366200269,,,,0,5,16,100.0,156.0,100.0,,0.0,,1.0,,0,,0
959453158,,,,0,3,11,4800.0,156.0,4800.0,,,,,,0,,0
1114628681,,,,0,3,11,1000.0,156.0,200.0,,,,,,0,,0
191956142,,,,0,5,7,450.0,156.0,450.0,,,,,,0,2.0,0
805505073,,,,0,8,11,31000.0,156.0,31000.0,,,,,,0,2.0,0
127466506,,,,0,28,9,,156.0,,,0.0,,1.0,,0,2.0,0
103517987,,,,0,35,2,83.7,156.0,83.7,,,,0.0,,0,,0
927879748,,,,0,18,9,0.0,156.0,0.0,,,,,,0,1.0,0
923269747,,,,1,3,11,10000.0,156.0,1000.0,,,,,,0,,0
559790998,,,,0,6,9,1000.0,156.0,1000.0,,,,,,0,,0
142691942,,,,0,3,11,110.0,156.0,110.0,,,,0.0,,0,,0
758076239,,,,0,3,11,4500.0,156.0,0.0,,,,,,0,,0
918218034,,,,0,3,9,1000.0,156.0,1000.0,,,,,,0,,0
510117950,,,,0,18,8,0.0,,0.0,,,,0.0,,0,1.0,0
359609594,,,,0,32,9,,,0.0,,,,,,0,1.0,0
408215553,,,,0,28,9,0.0,,0.0,,,,,,0,1.0,0
829944891,,,,0,27,9,,,0.0,,,,,,0,1.0,0
337502360,,,,0,55,10,100000.0,156.0,0.0,,,,,,0,,0
699365643,,,,0,3,11,1000.0,156.0,1000.0,,,,0.0,,0,,0
755521214,,,,0,3,11,6000.0,156.0,6000.0,,,,,,0,,0
731050139,,,,0,13,9,40000.0,156.0,0.0,,,,,,0,2.0,0
1222373856,,,,0,3,11,7000.0,156.0,7000.0,,,,,,0,,0
725698768,,,,1,28,9,0.0,,0.0,,,,0.0,,0,,0
936352630,,,,1,28,9,0.0,,0.0,,,,0.0,,0,,0
812917663,,,,1,3,4,300.0,156.0,300.0,,,,,,0,1.0,0
880847377,,,,0,8,11,50.0,156.0,50.0,,,,,,0,,0
606816694,,,,0,7,11,300.0,156.0,300.0,,,,,,0,,0
1031153973,,,,0,3,11,100.0,156.0,3.0,,,,,,0,,0
221832261,,,,0,3,9,3700.0,156.0,3700.0,,,,,,0,,0
284392751,,,0.0,0,58,0,2000.0,156.0,0.0,,,,,,0,,0
635899624,,,,0,27,9,,,0.0,,,,,,0,1.0,0
95211015,,,,0,28,9,0.0,,0.0,,,,,,0,1.0,0
1231967447,,,,0,27,9,0.0,,0.0,,,,0.0,,0,1.0,0
100195671,,,,0,3,9,1000.0,156.0,1000.0,,,,,,0,,0
342760793,,,,0,32,8,5.0,,5.0,,,,0.0,,0,1.0,0
954239726,,,,0,3,11,100.0,156.0,0.0,,,,,,0,,0
1032764109,,,,0,5,11,2000.0,156.0,2000.0,,,,0.0,,0,,0
283120087,,,,1,4,9,20000.0,156.0,20000.0,,,,,,0,,0
1133220134,,,,0,4,11,61224.9,156.0,0.0,,,,,,0,,0
873360537,,,,0,8,11,1280.0,156.0,1280.0,,,,,,0,,0
133252686,,,,0,3,9,501.0,156.0,0.0,,,,,,0,,0
