entid,ALTDATE,ALTTIME
122697049,2017-04-18,
122697049,2014-03-28,
122697049,2017-09-18,
122697049,2017-05-18,
122697049,2017-01-18,
122697049,2014-05-28,
122697049,2019-10-03,
122697049,2019-01-03,
122697049,2019-07-03,
122697049,2017-08-18,
122697049,2019-05-03,
122697049,2019-03-03,
122697049,2017-04-18,
959830672,2011-01-04,
959830672,2011-01-27,
959830672,2013-12-09,
959830672,2017-05-29,
959830672,2014-03-04,
959830672,2014-03-05,2.0
959830672,2014-08-04,
959830672,2015-07-09,
959830672,2015-08-09,
959830672,2013-02-25,
959830672,2011-12-18,
959830672,2014-02-04,
959830672,2011-07-04,
959830672,2014-03-05,
959830672,2015-12-09,
959830672,2011-04-20,
959830672,2013-01-09,
959830672,2011-06-11,
959830672,2012-09-09,
959830672,2011-10-11,
959830672,2011-03-11,
959830672,2012-12-09,
620868429,2015-03-18,
1176966297,2008-03-22,2.0
1176966297,2008-12-20,3.0
1176966297,2010-03-19,4.0
1176966297,2010-10-19,
1176966297,2015-01-23,
1176966297,2010-11-19,
1176966297,2007-02-28,1.0
1176966297,2018-11-08,
1176966297,2018-01-08,
658987796,2012-08-29,
658987796,2014-01-12,
658987796,2016-07-13,
658987796,2014-12-06,
658987796,2014-04-06,
658987796,2012-06-14,
658987796,2015-01-18,
658987796,2014-08-10,
658987796,2014-10-25,
658987796,2012-03-14,
658987796,2012-09-10,
658987796,2015-10-19,
658987796,2012-02-09,
658987796,2014-02-06,
658987796,2012-02-14,
658987796,2014-01-10,
658987796,2014-04-25,
658987796,2014-11-26,
658987796,2016-02-13,
1189216366,2014-11-13,
1189216366,2012-03-08,
1189216366,2011-02-15,
1189216366,2014-07-13,
1189216366,2016-06-25,
1189216366,2017-12-19,
1189216366,2018-07-19,0.0
1189216366,2018-10-18,
1189216366,2019-03-23,
1189216366,2019-02-23,
1189216366,2019-09-03,
1189216366,2018-02-19,0.0
1002985609,2006-11-03,3.0
1002985609,2005-12-25,2.0
1002985609,2004-01-08,1.0
1002985609,2010-10-25,4.0
959453158,2011-10-09,
959453158,2009-04-26,
959453158,2014-03-13,6.0
959453158,2009-05-16,
959453158,2009-02-18,3.0
959453158,2009-01-16,
959453158,2007-08-26,1.0
959453158,2011-11-09,
959453158,2008-07-17,2.0
959453158,2010-01-18,4.0
959453158,2013-04-03,5.0
959453158,2009-08-26,0.0
1114628681,2016-10-19,
1114628681,2015-11-06,
1114628681,2016-02-07,
1114628681,2015-11-06,
1114628681,2015-05-06,
1114628681,2018-07-11,0.0
1114628681,2018-07-11,0.0
1114628681,2019-02-27,
1114628681,2019-10-27,
1114628681,2019-03-27,
1114628681,2019-11-27,
1114628681,2019-03-08,
1114628681,2018-02-18,
191956142,2011-07-24,
191956142,2012-08-07,
191956142,2008-07-27,1.0
191956142,2008-12-14,2.0
191956142,2010-06-10,3.0
191956142,2013-08-06,4.0
191956142,2014-05-08,5.0
191956142,2012-03-07,
191956142,2011-08-24,
805505073,,
805505073,,
805505073,,
805505073,2010-07-09,
805505073,2010-11-12,
805505073,2009-03-02,
805505073,2011-06-04,
805505073,2005-07-26,1.0
805505073,2006-11-30,2.0
805505073,2007-04-05,3.0
805505073,2009-12-13,4.0
805505073,2010-06-12,5.0
805505073,2011-08-04,6.0
805505073,2011-06-01,7.0
805505073,2011-01-01,8.0
805505073,2011-03-29,9.0
805505073,2012-04-18,10.0
805505073,,
805505073,2012-07-18,
805505073,2014-12-20,
805505073,2010-09-07,
805505073,2010-10-09,
805505073,2009-02-21,
805505073,2009-08-02,
805505073,2013-03-02,
805505073,2014-01-17,
805505073,2010-05-12,
805505073,2009-06-16,0.0
805505073,2006-04-30,
805505073,2009-09-16,0.0
127466506,2016-05-17,
127466506,2011-10-20,
127466506,2018-01-29,
927879748,2010-03-15,
927879748,2012-11-13,
927879748,2011-09-11,
927879748,2012-08-13,
927879748,2015-04-29,
927879748,2017-07-14,
927879748,2017-01-14,
927879748,2017-02-14,
927879748,2010-05-29,
927879748,2014-04-15,
927879748,2014-05-15,
927879748,2012-11-13,
927879748,2010-09-29,
927879748,2010-12-29,
927879748,2017-09-09,
927879748,2017-03-14,
927879748,2017-12-09,
927879748,2015-05-29,
927879748,2018-12-24,0.0
927879748,2018-04-24,0.0
927879748,2018-03-24,0.0
927879748,2012-02-13,0.0
927879748,2011-08-11,0.0
927879748,2010-02-28,0.0
927879748,2019-08-27,
923269747,2016-04-12,
923269747,2016-01-12,4.0
923269747,2016-09-11,
923269747,2016-12-11,3.0
923269747,2016-03-11,
923269747,2016-08-11,3.0
923269747,2014-08-27,2.0
923269747,2016-05-11,
923269747,2016-06-11,3.0
923269747,2019-04-28,
923269747,2013-01-07,
923269747,2013-07-07,
923269747,2019-06-21,
923269747,2019-12-21,
923269747,2019-04-21,
923269747,2019-05-29,
559790998,2016-08-18,
559790998,2014-04-21,
559790998,2014-10-21,
559790998,2014-03-21,
559790998,2014-10-25,
559790998,2014-10-21,
559790998,2016-12-22,
559790998,2014-09-21,
559790998,2016-01-22,4.0
559790998,2014-03-25,
559790998,2016-10-22,
559790998,2014-06-21,
559790998,2014-05-25,
559790998,2014-03-22,
142691942,2014-04-17,1.0
758076239,2016-07-30,
758076239,2016-06-30,
758076239,2016-01-30,
758076239,2016-08-30,
758076239,2016-11-30,
758076239,2016-05-30,
918218034,2012-01-29,
918218034,2016-03-23,
918218034,2012-02-12,
918218034,2012-03-29,
918218034,2015-05-27,
918218034,2012-06-29,
918218034,2016-03-23,
918218034,2012-11-29,
918218034,2012-03-29,
918218034,2012-06-29,
918218034,2012-12-29,
918218034,2012-08-29,
918218034,2012-07-29,
918218034,2012-04-29,
510117950,2013-10-25,4.0
510117950,2016-03-13,
510117950,2014-06-04,
510117950,2013-11-25,4.0
510117950,2014-01-04,5.0
510117950,2012-05-27,3.0
510117950,2015-01-11,
510117950,2015-05-11,
510117950,2015-01-11,6.0
510117950,2013-06-25,
510117950,2016-12-13,7.0
510117950,2015-05-11,6.0
510117950,2013-01-25,
510117950,2008-09-01,
510117950,2006-06-14,
510117950,2006-04-14,
510117950,2019-03-01,
510117950,2008-03-01,
510117950,2013-05-25,
359609594,2015-12-29,1.0
359609594,2015-07-29,1.0
359609594,2018-03-24,
359609594,2018-03-24,
359609594,2018-06-24,
359609594,2018-09-24,
408215553,2017-04-27,
408215553,2015-08-29,1.0
408215553,2015-02-28,1.0
408215553,2017-08-27,
408215553,2018-02-05,
408215553,2018-06-05,
408215553,2019-11-24,
829944891,2015-10-29,1.0
829944891,2016-01-10,2.0
829944891,2018-07-23,
829944891,2018-01-23,
829944891,2019-07-21,
829944891,2018-04-19,
829944891,2019-09-21,
829944891,2019-03-29,
829944891,2019-03-29,
337502360,2015-09-20,
337502360,2017-07-24,
337502360,2017-09-24,
337502360,2015-05-20,
337502360,2015-02-20,
337502360,2017-03-24,
337502360,2018-09-23,0.0
337502360,2018-03-23,0.0
337502360,2018-09-14,0.0
337502360,2018-06-14,0.0
337502360,2018-02-14,
337502360,2018-11-23,
337502360,2020-03-26,
337502360,2020-09-26,
337502360,2020-05-26,
337502360,2020-03-26,
337502360,2020-07-26,
337502360,2020-01-26,
337502360,2015-05-20,
337502360,2020-11-26,
337502360,2020-11-26,
755521214,2009-10-06,8.0
755521214,2007-12-11,7.0
755521214,2009-02-06,
755521214,2014-01-05,
755521214,2003-04-03,3.0
755521214,2015-01-06,
755521214,2003-12-03,4.0
755521214,2012-03-28,
755521214,2007-07-28,6.0
755521214,2014-02-26,
755521214,2009-04-06,
755521214,2007-10-30,5.0
755521214,2014-06-05,
755521214,2012-01-28,10.0
755521214,2012-02-28,10.0
755521214,2015-07-06,
755521214,2014-05-05,
755521214,2012-03-28,
755521214,2007-03-28,6.0
755521214,2015-09-06,
755521214,2007-04-28,6.0
755521214,2007-07-11,7.0
755521214,2001-07-08,2.0
755521214,2009-09-06,8.0
755521214,1998-09-12,1.0
755521214,2007-07-11,
755521214,2014-11-05,
755521214,2014-08-05,
755521214,2011-03-05,
755521214,2012-07-28,
755521214,2014-05-05,
755521214,2012-11-28,10.0
755521214,2003-01-03,
755521214,2012-06-28,10.0
755521214,2014-06-05,
755521214,2015-01-06,13.0
755521214,2009-09-06,8.0
755521214,2003-07-03,
755521214,2007-08-28,
755521214,2003-02-03,
755521214,2012-08-28,
755521214,2012-09-28,
755521214,2018-01-22,
755521214,2012-04-28,
755521214,2019-02-14,
731050139,2012-08-03,
731050139,2015-05-25,5.0
731050139,2015-01-25,
731050139,2010-04-30,
731050139,2015-06-25,
731050139,2007-11-29,
731050139,2015-11-25,
731050139,2017-06-07,
731050139,2009-07-20,
731050139,2010-05-31,3.0
731050139,2016-07-29,
731050139,2019-11-18,
731050139,2019-04-18,
731050139,2019-02-18,
731050139,,
1222373856,2011-05-14,
1222373856,2010-07-25,6.0
1222373856,2008-04-17,
1222373856,2013-03-24,13.0
1222373856,2010-05-25,6.0
1222373856,2006-12-17,
1222373856,2011-03-29,11.0
1222373856,2006-06-17,
1222373856,2010-02-22,5.0
1222373856,2006-10-17,
1222373856,2009-11-24,4.0
1222373856,2011-03-14,10.0
1222373856,2013-08-24,
1222373856,2010-08-11,7.0
1222373856,2010-08-30,
1222373856,2012-11-27,12.0
1222373856,2011-02-28,
1222373856,2010-11-30,9.0
1222373856,2006-11-17,
1222373856,2013-01-24,
1222373856,2010-07-25,
1222373856,2009-09-24,
1222373856,2006-08-17,
1222373856,2013-05-24,
1222373856,2010-01-30,
1222373856,2009-03-24,
1222373856,2010-10-25,
1222373856,2006-11-17,
1222373856,2006-01-17,
1222373856,2006-05-17,
1222373856,2008-11-17,
1222373856,2009-07-24,
1222373856,2009-04-24,
725698768,2015-10-03,
725698768,2017-11-12,
725698768,2015-01-03,
725698768,2015-07-03,2.0
725698768,2017-07-12,
725698768,2013-12-30,
725698768,2019-02-28,
725698768,2019-06-29,
936352630,2014-02-23,
936352630,2017-04-20,
936352630,2017-06-20,
936352630,2016-02-19,
936352630,2014-12-23,
936352630,2012-08-17,
812917663,2016-06-18,
812917663,2011-03-07,3.0
812917663,2015-05-21,
812917663,2011-08-07,3.0
812917663,2008-02-16,
812917663,2011-11-08,4.0
812917663,2011-02-07,3.0
812917663,2011-11-07,
812917663,2017-04-19,
812917663,2012-11-07,5.0
812917663,2007-03-26,1.0
812917663,2011-05-08,
812917663,2012-10-07,
812917663,2015-12-21,
812917663,2017-06-19,
812917663,2011-09-07,
812917663,2011-08-07,
812917663,2011-09-08,
812917663,2020-02-05,
812917663,2020-04-05,
812917663,2020-12-05,
812917663,2020-02-05,
812917663,2020-08-05,
812917663,2020-05-05,
812917663,2020-02-05,
880847377,2017-01-04,
880847377,2016-07-25,
880847377,2017-09-04,
880847377,2016-03-25,
606816694,2017-08-16,
606816694,2015-09-04,
606816694,2017-01-16,
606816694,2015-01-04,
606816694,2013-05-07,
606816694,2015-01-04,
606816694,2015-09-04,3.0
606816694,2017-09-16,
606816694,2013-09-07,
606816694,2010-07-16,
606816694,2013-09-07,
606816694,2018-01-04,
606816694,2018-06-04,
606816694,2018-09-04,
606816694,2018-08-17,
606816694,2018-08-17,
606816694,2018-03-17,
606816694,2018-07-17,
1031153973,2016-07-02,
1031153973,2016-02-02,
1031153973,2016-07-02,
1031153973,2016-07-02,
1031153973,2016-07-02,
1031153973,2016-09-02,
1031153973,2016-11-02,
1031153973,2016-10-02,1.0
1031153973,2017-11-24,
1031153973,2017-11-24,
1031153973,2017-09-24,
1031153973,2017-02-24,
1031153973,2017-06-24,
1031153973,2017-05-24,
221832261,2011-12-18,
221832261,2010-08-18,
221832261,2009-11-09,
221832261,2010-10-18,
221832261,2017-03-03,
221832261,2010-12-18,
221832261,2011-07-18,
221832261,2011-08-18,
221832261,2007-08-24,
221832261,2007-11-24,
221832261,2011-07-18,
221832261,2007-03-24,
221832261,2013-07-02,
221832261,2015-05-08,
221832261,2009-01-09,
221832261,2015-12-08,
221832261,2016-03-22,
221832261,2013-06-02,
221832261,2011-03-18,
221832261,2016-05-22,
221832261,2009-05-09,
221832261,2015-03-08,
221832261,2011-09-18,
221832261,2015-09-08,
221832261,2017-04-03,
221832261,2013-10-24,
221832261,2008-02-04,
221832261,2015-12-08,
221832261,2010-09-18,
221832261,2011-05-18,
221832261,2015-06-08,
221832261,2016-11-22,9.0
221832261,2015-04-08,
221832261,2007-05-24,
221832261,2009-10-09,
221832261,2008-03-04,
221832261,2013-09-02,0.0
221832261,2011-04-18,0.0
221832261,2011-01-18,0.0
221832261,2010-04-18,0.0
221832261,2009-11-09,0.0
221832261,2008-05-04,0.0
221832261,2007-06-24,0.0
221832261,2007-02-24,0.0
284392751,2015-10-31,
284392751,2016-08-03,
284392751,2016-11-03,
284392751,2015-05-31,
284392751,2015-04-30,
284392751,2015-01-31,
284392751,2015-05-31,
284392751,2016-06-03,
284392751,2015-12-31,
635899624,2013-09-18,
635899624,2014-08-23,
635899624,2014-01-23,
635899624,2016-10-30,
635899624,2014-03-23,
635899624,2019-08-18,
635899624,2019-01-18,
95211015,2017-08-05,
95211015,2015-04-03,
95211015,2013-10-23,
95211015,2019-02-28,
1231967447,2015-12-27,1.0
1231967447,2015-02-27,
1231967447,2016-12-03,2.0
1231967447,2017-04-23,
1231967447,2015-07-27,
1231967447,2015-02-27,1.0
1231967447,2015-07-27,
1231967447,2017-12-23,
1231967447,2015-10-27,1.0
1231967447,2020-02-02,
1231967447,2020-07-02,
1231967447,2020-02-02,
1231967447,2020-11-02,
1231967447,2020-03-24,
1231967447,2020-07-24,
342760793,2011-02-01,3.0
342760793,2015-05-17,
342760793,2013-02-28,
342760793,2013-07-29,4.0
342760793,2016-01-20,8.0
342760793,2013-07-29,
342760793,2015-06-17,
342760793,2008-09-17,
342760793,2015-04-17,
342760793,2015-07-17,
342760793,2015-05-17,
342760793,2015-04-17,
342760793,2011-12-01,
342760793,2015-04-17,
342760793,2007-02-28,
342760793,2013-09-29,4.0
342760793,2015-06-17,5.0
342760793,2015-05-17,
342760793,2019-03-11,
342760793,2013-12-29,
342760793,2007-12-30,
342760793,2015-02-17,
342760793,2015-10-17,
1032764109,2016-08-21,
1032764109,2018-08-11,
1032764109,2018-08-11,
1032764109,2018-12-11,
