entid,NAME,indate,outdate
122697049,1030,,
122697049,801,201607.0,201612.0
122697049,1218,201607.0,201707.0
959830672,1871,201711.0,201711.0
564421968,1661,201612.0,201612.0
564421968,1350,201612.0,201612.0
1176966297,67,201709.0,201709.0
1176966297,306,,
1176966297,67,201609.0,201609.0
1176966297,67,201712.0,201712.0
1176966297,67,201712.0,201712.0
658987796,1529,201607.0,201702.0
1189216366,652,,
366200269,636,201612.0,201612.0
1114628681,268,,
805505073,2046,201711.0,201711.0
103517987,1864,201612.0,201612.0
927879748,1384,,
927879748,1850,201607.0,201707.0
758076239,14,201607.0,201612.0
758076239,2000,201607.0,201612.0
758076239,1731,201702.0,201702.0
758076239,61,201711.0,201711.0
510117950,1316,201607.0,201707.0
829944891,187,,
829944891,2302,,
337502360,692,201607.0,201702.0
337502360,60,201607.0,201702.0
337502360,753,,
699365643,742,201607.0,201607.0
699365643,1451,201607.0,201607.0
731050139,1803,201607.0,201705.0
725698768,1603,201607.0,201706.0
725698768,59,201607.0,201706.0
725698768,2171,,
936352630,185,201709.0,201709.0
812917663,1195,201612.0,201612.0
812917663,1195,,
880847377,718,201607.0,201607.0
1031153973,1994,201711.0,201711.0
635899624,1217,201702.0,201702.0
635899624,415,201607.0,201607.0
95211015,829,,
1231967447,1038,201710.0,201710.0
1133220134,761,201802.0,201802.0
1133220134,1568,201802.0,201802.0
1133220134,1541,201802.0,201802.0
1133220134,1161,201802.0,201802.0
1133220134,2323,201802.0,201802.0
1133220134,1081,201802.0,201802.0
1133220134,1733,201802.0,201802.0
1133220134,2008,201802.0,201802.0
1133220134,1797,201607.0,201707.0
334660907,2152,201607.0,201707.0
334660907,1974,,
348703566,1230,201612.0,201612.0
102673201,336,201607.0,201607.0
102673201,2268,201612.0,201612.0
102673201,2268,201712.0,201712.0
102673201,2268,201712.0,201712.0
516212728,189,201607.0,201612.0
1007251516,745,201607.0,201612.0
1007251516,116,201607.0,201612.0
1007251516,2093,201607.0,201612.0
1007251516,1833,201607.0,201612.0
1007251516,1808,,
1007251516,575,,
547440553,1623,201607.0,201702.0
547440553,1420,201607.0,201702.0
691454697,2099,201801.0,201801.0
691454697,1584,,
691454697,1022,201607.0,201607.0
691454697,1343,201801.0,201801.0
1112373491,1629,201702.0,201707.0
1112373491,587,,
971092189,1027,201702.0,201702.0
971092189,2081,201607.0,201612.0
971092189,1027,201711.0,201711.0
232565764,849,201607.0,201607.0
232565764,2314,,
25283915,694,201711.0,201711.0
1201305728,1832,201612.0,201612.0
1201305728,1832,201711.0,201711.0
423078773,332,201711.0,201711.0
549310412,1795,201607.0,201707.0
1095411854,2220,201712.0,201712.0
24295028,762,201612.0,201612.0
24295028,2413,201612.0,201612.0
210167448,1372,,
909295164,920,201711.0,201711.0
909295164,1264,201711.0,201711.0
909295164,2105,201801.0,201801.0
909295164,1855,,
909295164,2011,201801.0,201801.0
909295164,925,201711.0,201711.0
1079431533,2169,201612.0,201612.0
1079431533,2169,201711.0,201711.0
387113835,893,201612.0,201612.0
387113835,505,201612.0,201612.0
920939603,958,201607.0,201707.0
920939603,77,201607.0,201707.0
920939603,946,201607.0,201707.0
594662985,907,200603.0,
594662985,2145,201607.0,201612.0
594662985,2289,200603.0,
1004937136,567,201711.0,201711.0
1223495456,1805,201711.0,201711.0
982108430,691,201711.0,201711.0
890691479,243,201711.0,201711.0
252988494,1683,201607.0,201612.0
252988494,935,201702.0,201702.0
944659388,205,201711.0,201711.0
1212253508,2408,201711.0,201711.0
190939668,1634,201711.0,201711.0
896252612,1843,201711.0,201711.0
189295442,768,201612.0,201612.0
189295442,597,201612.0,201612.0
189295442,767,201711.0,201711.0
189295442,767,201612.0,201612.0
189295442,597,201711.0,201711.0
219277588,885,201711.0,201711.0
722415296,2380,201711.0,201711.0
47765794,695,201612.0,201612.0
47765794,2351,201612.0,201612.0
47765794,695,201711.0,201711.0
1074939474,2394,201711.0,201711.0
1085075577,154,201710.0,201710.0
661542888,2292,201711.0,201711.0
615010244,2117,201711.0,201711.0
359148977,611,201711.0,201711.0
777755253,1101,201711.0,201711.0
966961259,567,201711.0,201711.0
701756227,2318,,
701756227,2318,201711.0,201711.0
604201658,530,201711.0,201711.0
604201658,1477,200904.0,
604201658,2503,201304.0,
1100869661,1968,201711.0,201711.0
930458766,2503,201306.0,
1180550222,994,201711.0,201711.0
75481607,1014,201711.0,201711.0
138665184,741,201711.0,201711.0
224078802,634,201711.0,201711.0
1041614706,1601,,
1041614706,1298,201607.0,201702.0
1037276358,833,201711.0,201711.0
