entid,region_id,entertype_tax,industry_tax,registertype,economic_type,incometax_rate,collection_type,EMPNUM,year
122697049,1,,,15,168,,2,181292.0,2016.0
122697049,1,,,9,167,,2,153.0,2015.0
122697049,1,,,15,168,0.25,2,185818.0,2017.0
959830672,3,0.0,2.0,19,42,0.25,0,13.0,
959830672,3,,,19,206,,2,2.0,2016.0
959830672,3,,,19,206,0.25,2,2.0,2017.0
620868429,0,0.0,2.0,8,48,0.25,0,10.0,
620868429,0,,,8,182,,2,1.0,2016.0
620868429,0,,,8,182,,2,12.0,2015.0
620868429,0,,,8,182,0.25,2,12.0,2017.0
1176966297,5,1.0,2.0,26,41,0.25,0,1.0,
1176966297,5,,,26,172,,2,1.0,2016.0
1176966297,5,,,26,171,,2,20.0,2015.0
658987796,2,0.0,2.0,8,45,0.25,0,9400.0,
658987796,2,,,8,206,,2,8203.0,2016.0
658987796,2,,,8,174,,2,3.0,2015.0
658987796,2,,,8,206,0.25,2,0.0,2017.0
1189216366,2,0.0,2.0,8,68,0.25,0,31689.0,
1189216366,2,,,8,210,,2,32373.0,2016.0
1189216366,2,,,8,211,,2,3.0,2015.0
1189216366,2,,,8,210,0.25,2,3.0,2017.0
1002985609,4,0.0,2.0,8,27,0.25,0,1.0,
1002985609,4,,,8,146,,2,1.0,2016.0
1002985609,4,,,8,145,,2,2.0,2015.0
366200269,2,0.0,2.0,8,74,0.25,0,28.0,
959453158,2,0.0,2.0,19,55,0.25,0,10.0,
959453158,2,,,19,219,,2,39.0,2016.0
959453158,2,,,19,205,,2,12.0,2015.0
1114628681,6,0.0,2.0,19,56,0.25,0,30.0,
1114628681,6,,,19,206,,2,70.0,2016.0
1114628681,6,,,19,206,,2,5.0,2015.0
191956142,5,0.0,2.0,19,74,0.25,0,28.0,
191956142,5,,,19,160,,2,30.0,2016.0
191956142,5,,,19,159,,2,15.0,2015.0
191956142,5,,,19,160,0.25,2,15.0,2017.0
805505073,3,0.0,2.0,8,55,0.25,0,25.0,
805505073,3,,,8,221,,2,1.0,2016.0
805505073,3,,,8,205,,2,11.0,2015.0
805505073,3,,,8,162,0.25,2,1.0,2017.0
103517987,17,0.0,1.0,2,5,0.25,1,,
103517987,17,,,2,94,,2,2.0,2016.0
103517987,17,,,2,94,,2,4.0,2015.0
103517987,17,,,2,94,0.25,2,4.0,2017.0
923269747,10,0.0,2.0,8,48,0.25,0,,
923269747,14,,,8,238,,2,5.0,2016.0
923269747,14,,,8,238,0.25,2,2.0,2017.0
559790998,19,0.0,2.0,19,35,0.25,0,,
559790998,19,,,8,165,,2,3.0,2016.0
559790998,19,,,19,165,,2,50.0,2015.0
559790998,19,,,8,165,0.25,2,3.0,2017.0
142691942,9,1.0,2.0,19,61,0.25,0,,
758076239,9,,,8,222,0.25,2,1.0,2017.0
918218034,13,0.0,2.0,8,48,0.25,1,,
918218034,13,,,8,206,,2,2.0,2016.0
918218034,13,,,8,172,,2,5.0,2015.0
918218034,13,,,8,206,0.25,2,2.0,2017.0
337502360,36,,,23,206,,2,18.0,2016.0
337502360,36,,,8,121,,2,5.0,2015.0
337502360,36,,,23,206,0.25,2,5.0,2017.0
699365643,9,0.0,2.0,8,48,0.25,0,1.0,
755521214,32,0.0,2.0,8,76,0.25,0,,
755521214,32,,,19,206,,2,3.0,2016.0
755521214,32,,,19,206,,2,15.0,2015.0
755521214,32,,,19,206,0.25,2,15.0,2017.0
731050139,34,0.0,2.0,2,38,0.25,0,,
731050139,27,,,2,168,,2,30.0,2016.0
731050139,34,,,2,168,,2,30.0,2015.0
731050139,34,,,2,168,0.25,2,240.0,2017.0
1222373856,11,0.0,2.0,19,42,0.25,0,,
1222373856,11,,,19,172,,2,6.0,2016.0
725698768,20,1.0,,9,45,0.25,0,16.0,
936352630,24,1.0,2.0,8,36,0.25,0,15.0,
936352630,24,,,12,168,,2,15.0,2016.0
936352630,38,,,10,168,,2,15.0,2015.0
812917663,16,0.0,2.0,8,22,0.25,0,,
812917663,16,,,8,118,,2,58.0,2016.0
812917663,16,,,8,118,,2,18.0,2015.0
812917663,16,,,8,118,0.25,2,58.0,2017.0
606816694,26,0.0,2.0,8,22,0.25,0,15.0,
606816694,26,,,8,206,,2,24.0,2016.0
606816694,26,,,8,206,,2,2.0,2015.0
606816694,26,,,19,123,0.25,2,6.0,2017.0
1031153973,26,,,8,211,,2,3.0,2016.0
1031153973,33,,,8,211,0.25,2,2.0,2017.0
221832261,33,,,8,174,0.25,2,2.0,2017.0
635899624,24,1.0,2.0,1,36,0.25,0,16.0,
635899624,39,,,9,168,,2,16.0,2015.0
1231967447,24,1.0,2.0,9,36,0.25,0,14.0,
1231967447,24,,,11,168,,2,14.0,2016.0
1231967447,38,,,10,168,,2,14.0,2015.0
100195671,15,0.0,2.0,8,67,0.25,0,,
1032764109,21,0.0,2.0,8,57,0.25,0,,
1032764109,21,,,19,206,,2,3.0,2016.0
1032764109,21,,,19,206,0.25,2,3.0,2017.0
283120087,38,0.0,2.0,8,56,0.25,0,,
283120087,23,,,8,206,,2,162.0,2016.0
283120087,38,,,8,206,,2,22.0,2015.0
283120087,38,,,8,206,0.25,2,159.0,2017.0
1133220134,29,,,6,238,,2,11.0,2016.0
1133220134,29,,,6,238,,2,10.0,2015.0
1133220134,29,,,6,238,0.25,2,11.0,2017.0
873360537,11,0.0,2.0,8,67,0.25,0,,
873360537,11,,,8,211,,2,2.0,2016.0
873360537,11,,,8,211,0.25,2,2.0,2017.0
133252686,12,,,8,182,,2,5.0,2016.0
133252686,12,,,8,182,0.25,2,2.0,2017.0
334660907,9,,,12,170,,2,4.0,2016.0
