entid,CaseType
122697049,2.0
959830672,1.0
620868429,2.0
1176966297,2.0
658987796,1.0
1189216366,2.0
1002985609,2.0
959453158,1.0
1114628681,1.0
191956142,1.0
805505073,2.0
127466506,1.0
103517987,1.0
927879748,3.0
923269747,3.0
559790998,4.0
142691942,3.0
758076239,4.0
918218034,4.0
510117950,4.0
359609594,3.0
408215553,3.0
829944891,3.0
337502360,3.0
755521214,3.0
731050139,2.0
725698768,3.0
936352630,3.0
812917663,1.0
880847377,4.0
606816694,3.0
1031153973,3.0
221832261,3.0
284392751,1.0
635899624,3.0
95211015,4.0
1231967447,3.0
100195671,3.0
342760793,3.0
1032764109,3.0
283120087,3.0
1133220134,3.0
873360537,3.0
133252686,3.0
334660907,3.0
482244002,3.0
102673201,3.0
693676134,3.0
516212728,3.0
252045506,3.0
1007251516,3.0
341104627,3.0
220448783,3.0
211101804,3.0
547440553,3.0
740244329,3.0
691454697,3.0
1112373491,3.0
971092189,3.0
969723121,4.0
232565764,3.0
1174402087,4.0
25283915,3.0
219381665,3.0
575004686,3.0
36393553,3.0
64662931,3.0
423078773,3.0
166396479,3.0
549310412,1.0
790901023,3.0
439588592,3.0
819159156,3.0
1095411854,4.0
774143406,3.0
643995819,1.0
312112730,3.0
221711104,2.0
858710610,3.0
989495682,3.0
24295028,3.0
532580930,3.0
276103663,4.0
100724777,3.0
1113909111,3.0
185127097,3.0
916447957,3.0
1027568465,3.0
748718009,3.0
982196289,3.0
86389424,4.0
210167448,3.0
955997658,3.0
332305361,3.0
1001226199,3.0
1190925362,3.0
581046359,3.0
1034982777,3.0
909295164,3.0
887911034,3.0
896254795,3.0
1103426680,3.0
1079431533,3.0
387113835,3.0
127746,3.0
65683190,3.0
411188025,3.0
632694374,3.0
920939603,3.0
594662985,3.0
1223495456,3.0
786901755,3.0
252988494,3.0
1190939067,3.0
190939668,3.0
487814001,3.0
1151638109,3.0
922667663,3.0
47765794,3.0
1085075577,3.0
601440257,3.0
773782695,3.0
777755253,3.0
934595872,3.0
966961259,3.0
315181301,3.0
701756227,3.0
930458766,4.0
73384809,3.0
1041614706,3.0
651350596,3.0
1160047562,4.0
108551665,3.0
277248694,3.0
1132818427,4.0
1116063280,3.0
15678213,3.0
1220196703,3.0
640968401,3.0
1066230471,3.0
785979544,3.0
472401174,3.0
985924084,4.0
754806435,3.0
193764953,3.0
320133386,3.0
167537706,3.0
608621770,3.0
957798659,3.0
932639370,3.0
87460021,3.0
1049675770,3.0
216862463,4.0
98705427,4.0
542928036,3.0
118080722,4.0
848068003,3.0
777389681,3.0
1083867584,4.0
1090257579,3.0
109252429,3.0
1010536331,3.0
1183612658,3.0
871120598,3.0
869389017,3.0
1151486512,3.0
55745086,3.0
1145631240,3.0
272730092,3.0
493833765,3.0
493673299,4.0
215297274,3.0
214259216,4.0
1088282626,3.0
109197793,3.0
677486778,3.0
842321361,3.0
758105004,3.0
769345668,3.0
304078443,3.0
689807604,3.0
560635202,3.0
332412177,3.0
950964030,3.0
351807698,3.0
122220175,3.0
1164000197,3.0
1138896658,4.0
749517298,3.0
29156211,3.0
275122329,3.0
337452976,4.0
21702078,3.0
521978266,3.0
808713634,3.0
747756688,3.0
534061844,3.0
541611389,3.0
16370806,3.0
267064445,3.0
753544918,3.0
137040147,3.0
462629255,3.0
1036107901,3.0
370924930,3.0
473603328,3.0
1126948899,3.0
1094770755,3.0
334445840,4.0
779853295,3.0
1074043626,3.0
579589393,3.0
636191915,3.0
113560248,3.0
288764239,3.0
625243944,3.0
1179998601,3.0
1222676313,3.0
740640299,4.0
576223938,3.0
1087388731,3.0
98881159,3.0
361556788,3.0
974430232,3.0
925143437,3.0
188029906,3.0
1153663696,3.0
140294893,3.0
1063798897,3.0
1187619116,3.0
1211146226,3.0
176707190,3.0
729123262,4.0
275908927,4.0
6661687,3.0
687207095,3.0
77539620,3.0
1179650368,3.0
1005387686,3.0
716838666,3.0
1191254660,3.0
532386625,3.0
460609992,3.0
860188978,3.0
1094485325,3.0
923931235,3.0
6752179,3.0
1064971831,3.0
1155942293,3.0
944041827,3.0
297840921,3.0
507433114,3.0
950966820,4.0
1165654536,3.0
1141604708,0.0
464489452,3.0
691939625,3.0
97599295,3.0
388851900,3.0
489081781,3.0
972603126,3.0
714805408,4.0
74749060,4.0
569311652,3.0
938735146,3.0
747551895,3.0
950477262,3.0
352833104,3.0
1127446955,3.0
307832564,3.0
864229628,3.0
363413732,3.0
906331616,4.0
997864454,3.0
212936139,4.0
915691115,3.0
494655806,3.0
198645614,3.0
1042476978,3.0
836262811,3.0
1093842360,3.0
1010521891,4.0
899638937,3.0
173608654,3.0
434369652,3.0
109349946,3.0
818326003,4.0
450806114,3.0
729451269,3.0
376845234,3.0
379903178,3.0
379192079,3.0
169464023,3.0
100233421,3.0
362903000,3.0
932526009,3.0
959080401,3.0
183833080,3.0
856005278,4.0
545175795,4.0
849285849,3.0
255617404,3.0
841541151,3.0
332785190,3.0
1030735457,3.0
72267142,4.0
704862560,3.0
1066984012,3.0
799568105,0.0
922231918,3.0
417928253,3.0
190741069,3.0
715876606,4.0
1051752215,3.0
69864218,3.0
619642009,3.0
586195456,3.0
210383067,3.0
1151359164,3.0
970738170,3.0
1116658045,3.0
527302025,3.0
739577462,3.0
8485337,3.0
468888250,3.0
1085726638,3.0
948822707,4.0
140245352,3.0
366545916,3.0
1185979689,3.0
552644395,3.0
49593012,3.0
1085932784,3.0
194970450,3.0
590790420,3.0
1188467492,3.0
27666724,3.0
901185712,3.0
862518655,3.0
170154605,3.0
11578219,3.0
103538899,3.0
1077119028,3.0
695526356,3.0
140640476,3.0
380336498,3.0
725175640,3.0
295521760,3.0
690424336,3.0
208523205,3.0
327107238,3.0
1018107647,3.0
1094467953,3.0
52854757,3.0
245720891,3.0
1162220290,3.0
669744226,3.0
1201794855,3.0
633807404,0.0
158248251,3.0
271842174,3.0
1018069886,3.0
760576075,3.0
1085857349,3.0
390780098,3.0
851397728,3.0
83240477,3.0
83572229,3.0
60048059,3.0
1215821485,3.0
372210897,3.0
1046534341,4.0
755138139,4.0
343600466,3.0
1092343558,3.0
76278720,3.0
842409546,3.0
640725174,3.0
498426938,3.0
553787562,3.0
1099944224,3.0
632122462,4.0
432161556,3.0
1134127066,3.0
1190580640,3.0
749231957,3.0
1224360866,3.0
259595235,3.0
653184071,3.0
992237603,3.0
530342741,3.0
516297044,0.0
518601962,3.0
557422970,3.0
448253308,3.0
1188349896,3.0
425886436,3.0
625732720,3.0
879001764,3.0
809694360,3.0
15412559,3.0
146510672,4.0
1179072556,3.0
261482098,3.0
332704751,3.0
897511444,3.0
362523435,3.0
375798270,3.0
978827451,3.0
1068496561,3.0
1215158860,3.0
718426174,3.0
62390575,3.0
316092570,3.0
59866292,4.0
654589853,3.0
350902767,3.0
1158820955,3.0
730888062,4.0
791641607,4.0
50642953,4.0
642806047,3.0
852094752,3.0
886096723,3.0
649788003,3.0
286552333,3.0
575224830,3.0
126993263,3.0
668158638,3.0
1230336904,3.0
673580467,3.0
775583569,3.0
407207628,3.0
909463926,3.0
923590000,4.0
925250378,3.0
1189743165,3.0
953672999,3.0
343998876,3.0
1145175331,3.0
688774607,3.0
135754431,3.0
180016517,3.0
14658789,3.0
19850270,3.0
182638287,4.0
1109695431,4.0
31354588,3.0
88880631,3.0
957814072,3.0
626617037,3.0
263127758,4.0
1033647152,4.0
574226120,3.0
1203317006,4.0
277527220,3.0
421844157,4.0
40238525,0.0
111749012,3.0
389988763,3.0
1099432112,4.0
265543412,3.0
958908459,3.0
187292727,4.0
